Count,Pitch
341,9849,0.00
342,9877,0.00
343,9904,0.00
344,9930,0.00
345,9958,0.00
346,9985,0.00
0,307,0.00
1,330,0.00
2,354,-0.15
3,378,-0.21
4,403,-0.11
5,429,-0.11
6,453,-0.04
7,478,0.01
8,501,0.01
9,525,0.01
10,549,0.01
11,574,0.01
12,599,0.01
13,623,0.01
14,649,0.01
15,673,0.01
16,698,0.01
17,722,0.01
18,748,0.01
19,773,0.01
20,797,0.01
21,822,0.01
22,847,-0.05
23,873,-0.05
24,899,-0.05
25,925,-0.05
26,951,-0.05
27,976,-0.05
28,1003,-0.05
29,1030,-0.05
30,1056,-0.05
31,1084,-0.05
32,1111,-0.05
33,1138,-0.05
34,1165,-0.05
35,1191,-0.05
36,1219,-0.05
37,1246,-0.05
38,1273,-0.05
39,1300,-0.05
40,1327,-0.05
41,1354,-0.05
42,1381,-0.05
43,1409,-0.05
44,1435,-0.05
45,1462,-0.05
46,1489,-0.05
47,1516,-0.05
48,1544,-0.05
49,1570,-0.05
50,1597,-0.05
51,1625,-0.05
52,1651,-0.05
53,1679,-0.05
54,1705,-0.05
55,1731,0.02
56,1758,0.10
57,1783,0.10
58,1809,0.17
59,1836,0.17
60,1861,0.25
61,1887,0.34
62,1912,0.34
63,1938,0.21
64,1965,-0.09
65,1991,-0.34
66,2018,-0.44
67,2045,-0.27
68,2072,0.03
69,2099,0.20
70,2124,0.20
71,2150,0.14
72,2177,-0.04
73,2203,-0.23
74,2230,-0.23
75,2257,-0.09
76,2284,0.03
77,2311,0.12
78,2336,0.12
79,2362,0.04
80,2388,0.04
81,2413,-0.05
82,2440,-0.05
83,2467,-0.05
84,2494,-0.05
85,2522,-0.05
86,2548,-0.05
87,2575,-0.05
88,2603,-0.14
89,2629,-0.49
90,2657,-0.85
91,2683,-0.77
92,2710,-0.47
93,2737,0.03
94,2762,0.63
95,2789,0.95
96,2814,0.83
97,2839,0.40
98,2866,-0.25
99,2892,-0.89
100,2920,-1.05
101,2948,-0.74
102,2976,-0.14
103,3004,0.58
104,3032,1.07
105,3058,0.96
106,3085,0.43
107,3112,-0.36
108,3140,-1.15
109,3169,-1.30
110,3196,-1.01
111,3225,-0.37
112,3253,0.50
113,3280,1.32
114,3307,1.32
115,3335,0.72
116,3361,-0.26
117,3390,-1.18
118,3418,-1.61
119,3446,-1.41
120,3474,-0.62
121,3503,0.37
122,3529,1.39
123,3557,1.58
124,3584,1.19
125,3610,0.38
126,3637,-0.65
127,3664,-1.63
128,3692,-1.83
129,3720,-1.41
130,3747,-0.54
131,3776,0.45
132,3803,1.48
133,3829,1.72
134,3857,1.31
135,3884,0.45
136,3911,-0.58
137,3939,-1.57
138,3968,-1.73
139,3995,-1.32
140,4024,-0.51
141,4051,0.51
142,4079,1.55
143,4106,1.76
144,4133,1.28
145,4160,0.28
146,4188,-0.86
147,4215,-1.90
148,4244,-2.04
149,4272,-1.51
150,4300,-0.53
151,4328,0.61
152,4356,1.19
153,4382,1.46
154,4409,1.14
155,4435,0.53
156,4462,-0.34
157,4491,-1.14
158,4518,-1.51
159,4547,-1.27
160,4575,-0.64
161,4603,0.19
162,4630,1.05
163,4658,1.17
164,4684,0.80
165,4712,0.23
166,4739,-0.42
167,4767,-0.95
168,4795,-1.02
169,4824,-0.58
170,4851,0.07
171,4879,0.80
172,4905,1.17
173,4932,0.99
174,4959,0.48
175,4985,-0.23
176,5013,-0.94
177,5041,-1.15
178,5068,-0.83
179,5097,-0.27
180,5125,0.46
181,5151,1.02
182,5178,0.91
183,5204,0.50
184,5231,-0.25
185,5259,-1.15
186,5287,-1.47
187,5315,-1.22
188,5344,-0.56
189,5371,0.35
190,5399,1.29
191,5426,1.48
192,5453,1.11
193,5480,0.43
194,5508,-0.54
195,5535,-1.33
196,5564,-1.39
197,5592,-0.90
198,5620,-0.12
199,5648,0.77
200,5676,1.29
201,5702,1.20
202,5730,0.58
203,5756,-0.42
204,5784,-1.39
205,5812,-1.68
206,5840,-1.43
207,5868,-0.66
208,5897,0.29
209,5923,1.29
210,5950,1.49
211,5977,1.21
212,6003,0.55
213,6031,-0.34
214,6059,-1.18
215,6087,-1.43
216,6115,-1.15
217,6144,-0.39
218,6171,0.53
219,6199,1.43
220,6225,1.54
221,6253,1.06
222,6280,0.14
223,6307,-0.93
224,6335,-1.80
225,6364,-1.80
226,6391,-1.18
227,6420,-0.21
228,6448,0.93
229,6475,1.86
230,6502,2.06
231,6530,1.78
232,6556,0.95
233,6583,-0.21
234,6611,-1.47
